date,time,timezone,MACB,source,sourcetype,type,user,host,short,desc,version,filename,inode,notes,format,extra
08/04/2004,04:56:44,US/Pacific,...B,FILE,NTFS Creation Time,Creation Time,-,JEAN-13FBF038A3,/WINDOWS/system32/usmt/guitrn.dll,TSK:/WINDOWS/system32/usmt/guitrn.dll Type: file,2,TSK:/WINDOWS/system32/usmt/guitrn.dll,19641,-,filestat,file_size: 133120; file_system_type: NTFS; is_allocated: True; sha256_hash: 2648e56a175e30667f7f7b8ed1ec652d1115a9946b450d87fbd0b063e7a7d8ce
08/04/2004,04:56:44,US/Pacific,M...,FILE,NTFS Content Modification Time,Content Modification Time,-,JEAN-13FBF038A3,/WINDOWS/$NtServicePackUninstall$/iisrtl.dll,TSK:/WINDOWS/$NtServicePackUninstall$/iisrtl.dll Type: file,2,TSK:/WINDOWS/$NtServicePackUninstall$/iisrtl.dll,13865,-,filestat,file_size: 133632; file_system_type: NTFS; is_allocated: True; sha256_hash: 5aff084c2c7903eb6e184b81232431ef69a52e3a7f07002d0f54f4eb5ad00701
08/04/2004,04:56:44,US/Pacific,M...,FILE,NTFS Content Modification Time,Content Modification Time,-,JEAN-13FBF038A3,/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4...,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0001184.dll Type: file,2,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0001184.dll,7599,-,filestat,file_size: 133632; file_system_type: NTFS; is_allocated: True; sha256_hash: 5aff084c2c7903eb6e184b81232431ef69a52e3a7f07002d0f54f4eb5ad00701
08/04/2004,04:56:44,US/Pacific,M...,FILE,NTFS Content Modification Time,Content Modification Time,-,JEAN-13FBF038A3,/WINDOWS/$NtServicePackUninstall$/itss.dll,TSK:/WINDOWS/$NtServicePackUninstall$/itss.dll Type: file,2,TSK:/WINDOWS/$NtServicePackUninstall$/itss.dll,13053,-,filestat,file_size: 134144; file_system_type: NTFS; is_allocated: True; sha256_hash: 5f0773375b316a8083f85c15db59fca699d4777c9bf5b8031a404888d2d96a1f
08/04/2004,04:56:44,US/Pacific,M..B,FILE,NTFS Content Modification Time,Content Modification Time; Creation Time,-,JEAN-13FBF038A3,/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4...,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0002296.dll Type: file,2,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0002296.dll,2631,-,filestat,file_size: 134144; file_system_type: NTFS; is_allocated: True; sha256_hash: 5f0773375b316a8083f85c15db59fca699d4777c9bf5b8031a404888d2d96a1f
08/04/2004,04:56:44,US/Pacific,M..B,FILE,NTFS Content Modification Time,Content Modification Time; Creation Time,-,JEAN-13FBF038A3,/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4...,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0001039.dll Type: file,2,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0001039.dll,7609,-,filestat,file_size: 134144; file_system_type: NTFS; is_allocated: True; sha256_hash: 5f0773375b316a8083f85c15db59fca699d4777c9bf5b8031a404888d2d96a1f
08/04/2004,04:56:44,US/Pacific,M...,FILE,NTFS Content Modification Time,Content Modification Time,-,JEAN-13FBF038A3,/WINDOWS/$NtServicePackUninstall$/mssap.dll,TSK:/WINDOWS/$NtServicePackUninstall$/mssap.dll Type: file,2,TSK:/WINDOWS/$NtServicePackUninstall$/mssap.dll,13968,-,filestat,file_size: 134656; file_system_type: NTFS; is_allocated: True; sha256_hash: af8bc2b805a7a1be194ef3d66e7a0a47fb39543a7b3e056388ccd86e95d371bb
08/04/2004,04:56:44,US/Pacific,...B,FILE,NTFS Creation Time,Creation Time,-,JEAN-13FBF038A3,/WINDOWS/system32/mssap.dll,TSK:/WINDOWS/system32/mssap.dll Type: file,2,TSK:/WINDOWS/system32/mssap.dll,23202,-,filestat,file_size: 134656; file_system_type: NTFS; is_allocated: True; sha256_hash: 13cb711b7ee28fc5d721c6d2938721d40658b0c39d129cfa1fa0bac3f722067f
08/04/2004,04:56:44,US/Pacific,M..B,FILE,NTFS Content Modification Time,Content Modification Time; Creation Time,-,JEAN-13FBF038A3,/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4...,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0003009.dll Type: file,2,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0003009.dll,2765,-,filestat,file_size: 134656; file_system_type: NTFS; is_allocated: True; sha256_hash: af8bc2b805a7a1be194ef3d66e7a0a47fb39543a7b3e056388ccd86e95d371bb
08/04/2004,04:56:44,US/Pacific,M..B,FILE,NTFS Content Modification Time,Content Modification Time; Creation Time,-,JEAN-13FBF038A3,/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4...,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0000794.dll Type: file,2,TSK:/System Volume Information/_restore{72FA17C4-4189-4FF0-8037-5773EBACA0FD}/RP4/A0000794.dll,8975,-,filestat,file_size: 134656; file_system_type: NTFS; is_allocated: True; sha256_hash: af8bc2b805a7a1be194ef3d66e7a0a47fb39543a7b3e056388ccd86e95d371bb
